Member Entity ID,Parent Entity ID,Campus ID,Relationship,Source Record ID,Observation ID,Relationship Basis,Registry Version
campus:032ed9a1f41fcfe5,campus:032ed9a1f41fcfe5,campus:032ed9a1f41fcfe5,observation_supports_campus,im3-source:e7f79847f8f087b5,im3:e7f79847f8f087b5,campus identity evidence,9.6.2
building:d9595031d05ed6aa,campus:b295fb27d3922acd,campus:b295fb27d3922acd,building_in_campus,osm-way-714776107,gigawatt:osm-way-714776107,source-native building observation,9.6.2
campus:b295fb27d3922acd,campus:b295fb27d3922acd,campus:b295fb27d3922acd,observation_supports_campus,im3-source:e8d601418664970c,im3:e8d601418664970c,campus identity evidence,9.6.2
campus:b295fb27d3922acd,campus:b295fb27d3922acd,campus:b295fb27d3922acd,observation_supports_campus,729,fractracker:729,campus identity evidence,9.6.2
building:7a164397a6133b98,campus:cd189759066e5ea4,campus:cd189759066e5ea4,building_in_campus,osm-way-1459680304,gigawatt:osm-way-1459680304,source-native building observation,9.6.2
campus:cd189759066e5ea4,campus:cd189759066e5ea4,campus:cd189759066e5ea4,observation_supports_campus,im3-source:f4adeb1d03b34925,im3:f4adeb1d03b34925,campus identity evidence,9.6.2
campus:cb05b67e1a1fec75,campus:cb05b67e1a1fec75,campus:cb05b67e1a1fec75,observation_supports_campus,1,fractracker:1,campus identity evidence,9.6.2
campus:79dab91ffbcf8d3b,campus:79dab91ffbcf8d3b,campus:79dab91ffbcf8d3b,observation_supports_campus,10,fractracker:10,campus identity evidence,9.6.2
campus:7725d1f5de37ba2b,campus:7725d1f5de37ba2b,campus:7725d1f5de37ba2b,observation_supports_campus,1000,fractracker:1000,campus identity evidence,9.6.2
campus:033211151c4c94a3,campus:033211151c4c94a3,campus:033211151c4c94a3,observation_supports_campus,1003,fractracker:1003,campus identity evidence,9.6.2
campus:e58b34306ec11b7a,campus:e58b34306ec11b7a,campus:e58b34306ec11b7a,observation_supports_campus,1004,fractracker:1004,campus identity evidence,9.6.2
building:895e0008c765a5ce,campus:02fc8759796f364e,campus:02fc8759796f364e,building_in_campus,im3-source:837af0abf3560548,im3:837af0abf3560548,source-native building observation,9.6.2
building:895e0008c765a5ce,campus:02fc8759796f364e,campus:02fc8759796f364e,building_in_campus,osm-way-1447029365,gigawatt:osm-way-1447029365,source-native building observation,9.6.2
building:bc3d8307df133538,campus:02fc8759796f364e,campus:02fc8759796f364e,building_in_campus,im3-source:840be3c284181221,im3:840be3c284181221,source-native building observation,9.6.2
campus:02fc8759796f364e,campus:02fc8759796f364e,campus:02fc8759796f364e,observation_supports_campus,1007,fractracker:1007,campus identity evidence,9.6.2
campus:0e6d8575df8e785d,campus:0e6d8575df8e785d,campus:0e6d8575df8e785d,observation_supports_campus,1008,fractracker:1008,campus identity evidence,9.6.2
campus:bd8e681006718701,campus:bd8e681006718701,campus:bd8e681006718701,observation_supports_campus,1010,fractracker:1010,campus identity evidence,9.6.2
building:2921b17ead253f3c,campus:dcef5d50a01a25d1,campus:dcef5d50a01a25d1,building_in_campus,im3-source:803db7375774bb7b,im3:803db7375774bb7b,source-native building observation,9.6.2
building:2921b17ead253f3c,campus:dcef5d50a01a25d1,campus:dcef5d50a01a25d1,building_in_campus,osm-way-828135845,gigawatt:osm-way-828135845,source-native building observation,9.6.2
building:1bcbae759d229bd6,campus:dcef5d50a01a25d1,campus:dcef5d50a01a25d1,building_in_campus,im3-source:81eb109cdb19d8bb,im3:81eb109cdb19d8bb,source-native building observation,9.6.2
building:1bcbae759d229bd6,campus:dcef5d50a01a25d1,campus:dcef5d50a01a25d1,building_in_campus,osm-way-1280340216,gigawatt:osm-way-1280340216,source-native building observation,9.6.2
building:332566086797ea01,campus:dcef5d50a01a25d1,campus:dcef5d50a01a25d1,building_in_campus,im3-source:90e24a9b1e5593fa,im3:90e24a9b1e5593fa,source-native building observation,9.6.2
building:332566086797ea01,campus:dcef5d50a01a25d1,campus:dcef5d50a01a25d1,building_in_campus,osm-way-1280340217,gigawatt:osm-way-1280340217,source-native building observation,9.6.2
building:1dc396e324ad2213,campus:dcef5d50a01a25d1,campus:dcef5d50a01a25d1,building_in_campus,im3-source:9abf8cf84617f829,im3:9abf8cf84617f829,source-native building observation,9.6.2
building:1dc396e324ad2213,campus:dcef5d50a01a25d1,campus:dcef5d50a01a25d1,building_in_campus,osm-way-222672860,gigawatt:osm-way-222672860,source-native building observation,9.6.2
building:fa54e41b648a6ded,campus:dcef5d50a01a25d1,campus:dcef5d50a01a25d1,building_in_campus,im3-source:d3e4144294055514,im3:d3e4144294055514,source-native building observation,9.6.2
building:fa54e41b648a6ded,campus:dcef5d50a01a25d1,campus:dcef5d50a01a25d1,building_in_campus,osm-way-697021948,gigawatt:osm-way-697021948,source-native building observation,9.6.2
building:fde18ec56085c433,campus:dcef5d50a01a25d1,campus:dcef5d50a01a25d1,building_in_campus,osm-way-697021949,gigawatt:osm-way-697021949,source-native building observation,9.6.2
campus:dcef5d50a01a25d1,campus:dcef5d50a01a25d1,campus:dcef5d50a01a25d1,observation_supports_campus,1014,fractracker:1014,campus identity evidence,9.6.2
campus:93f40bd3ca91092c,campus:93f40bd3ca91092c,campus:93f40bd3ca91092c,observation_supports_campus,1019,fractracker:1019,campus identity evidence,9.6.2
