Observation ID,Source Record ID,Source,Source Class,Observation Level,Name,Operator,Owner,Developer,Occupant,Address,City,State,County,ZIP Code,Latitude,Longitude,Location Precision,Purpose,Status,Status Detail,Status Date,Expected Service Date,Square Feet,Facility Count,Building Count,Property Size Acres,Project Cost,Raw Capacity Text,Published Capacity Estimate Low MW,Published Capacity Estimate MW,Published Capacity Estimate High MW,Capacity Estimate Basis,Planned Data Center Capacity MW,Contracted Utility Capacity MW,Energized Capacity MW,Annual Electricity Consumption MWh,Planned Onsite Generation MW,Power Source,Dedicated Power Plant,Generator Count,Utility,Balancing Authority,Watershed,Water Withdrawal Gallons/Year,Water Consumption Gallons/Year,Site WUE L/kWh,Cooling System,Water Source,Water Permit or Utility Record,Reclaimed Water Use,Water Evidence Scope,Water Evidence Grade,Water Evidence Type,Water Evidence Source,Water Evidence URL,Water Evidence Date,Community Response,Evidence Grade,Evidence Type,Inventory Confidence,Source URL,Upstream Source URL,Source Date,Source Updated Date,Notes,Resolution Reason
gigawatt:osm-way-159959672,osm-way-159959672,Gigawatt Map retained export,Observed footprint,building,TierPoint,,,,,,,OK,,,36.158588,-95.988631,Published point,,Observed footprint,,,,,,,,,,0.71,0.95,1.18,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-166431620,osm-way-166431620,Gigawatt Map retained export,Observed footprint,building,"Union Pacific Jack Koraleski Technology, Research & Development Center",,,,,,,NE,,,41.318005,-96.050345,Published point,,Observed footprint,,,,,,,,,,2.04,2.72,3.4,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-168129695,osm-way-168129695,Gigawatt Map retained export,Observed footprint,building,DataBank Pittsburgh PIT2,,,,,,,PA,,,40.451369,-80.190118,Published point,,Observed footprint,,,,,,,,,,2.25,3.0,3.75,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-169170979,osm-way-169170979,Gigawatt Map retained export,Observed footprint,building,Molina Healthcare,,,,,,,NM,,,34.995446,-106.618034,Published point,,Observed footprint,,,,,,,,,,0.96,1.28,1.6,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-174242795,osm-way-174242795,Gigawatt Map retained export,Observed footprint,building,EdgeConneX CHI01,edgeconnex,,edgeconnex,,,,IL,,,42.000775,-87.950769,Published point,,Observed footprint,,,,,,,,,,4.51,6.01,7.51,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-187574082,osm-way-187574082,Gigawatt Map retained export,Observed footprint,building,Verizon Wireline Network Building,,,,,,,NJ,Middlesex County,,40.494903,-74.443095,Published point,,Observed footprint,,,,,,,,,,1.21,1.61,2.02,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,U.S. jurisdiction reconciled from co-located IM3 geometry.,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-190868312,osm-way-190868312,Gigawatt Map retained export,Observed footprint,building,RagingWire CA3,ntt,,ntt,,,,CA,,,38.644239,-121.498763,Published point,,Observed footprint,,,,,,,,,,5.68,7.57,9.46,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-193611216,osm-way-193611216,Gigawatt Map retained export,Observed footprint,building,Equinix NY3,equinix,,equinix,,,,NJ,,,40.774852,-74.06889,Published point,,Observed footprint,,,,,,,,,,10.29,13.72,17.15,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-193611219,osm-way-193611219,Gigawatt Map retained export,Observed footprint,building,Equinix New York Secaucus NY2,equinix,,equinix,,,,NJ,,,40.77742,-74.075917,Published point,,Observed footprint,,,,,,,,,,15.11,20.15,25.19,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-193612533,osm-way-193612533,Gigawatt Map retained export,Observed footprint,building,Centersquare NYC3 Data Center,,,,,,,NJ,,,40.786164,-74.069182,Published point,,Observed footprint,,,,,,,,,,5.37,7.16,8.95,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-195165374,osm-way-195165374,Gigawatt Map retained export,Observed footprint,building,Black Rock Financial Management,,,,,,,MO,,,39.295492,-94.678025,Published point,,Observed footprint,,,,,,,,,,3.0,4.0,5.0,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-199252950,osm-way-199252950,Gigawatt Map retained export,Observed footprint,building,CyrusOne Chicago Aurora CME,cyrusone,,cyrusone,,,,IL,,,41.796711,-88.243603,Published point,,Observed footprint,,,,,,,,,,18.12,24.16,30.19,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-200989527,osm-way-200989527,Gigawatt Map retained export,Observed footprint,building,Xfinity/Comcast Data Center,,,,,,,CO,,,39.588307,-104.832435,Published point,,Observed footprint,,,,,,,,,,1.93,2.57,3.21,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
