Year,Month,Entity ID,Entity Name,Plant Producer Type,Plant Name,Plant State,Plant ID,Generator ID,Net Summer Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Pipeline Type,Technology Group,Date
2026,3.0,66064.0,"Bexar ESS, LLC",IPP,Bexar ESS,TX,66400.0,OCBEX,100.0,Batteries,MWH,BA,Addition,Battery storage,2026-03-01
2026,3.0,67229.0,"Big Creek Solar (IL), LLC",IPP,Big Creek Solar (IL) (CSG),IL,69043.0,BC25,5.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,66916.0,"Camino del Sol 2 Solar Project 2022, LLC",IPP,Bayer Oxnard - Meter# 4719,CA,68540.0,6245,1.3,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,4065.0,City of Columbus - (OH),Electric Utility,Jackson Pike WWTP Cogen Engines,OH,67264.0,1,1.4,Other Waste Biomass,OBG,IC,Addition,Other renewables,2026-03-01
2026,3.0,4065.0,City of Columbus - (OH),Electric Utility,Jackson Pike WWTP Cogen Engines,OH,67264.0,2,1.4,Other Waste Biomass,OBG,IC,Addition,Other renewables,2026-03-01
2026,3.0,65833.0,"Danish Fields Storage, LLC",IPP,Danish Fields Storage,TX,66916.0,DANST,150.0,Batteries,MWH,BA,Addition,Battery storage,2026-03-01
2026,3.0,65677.0,Dimension Energy LLC,IPP,West Deptford Solar 1 LLC,NJ,69836.0,DEPT1,1.4,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,5416.0,"Duke Energy Carolinas, LLC",Electric Utility,Beaverdam Renewable Energy Center,SC,68223.0,67693,42.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,65672.0,"Elkhart County Solar Project, LLC",IPP,Elkhart County Solar Project,IN,66647.0,USELT,100.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,61194.0,Generate Capital,IPP,New Road,NY,69876.0,11205,5.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,7140.0,Georgia Power Co,Electric Utility,Robins Air Force Base Solar,GA,61648.0,2,128.0,Batteries,MWH,BA,Addition,Battery storage,2026-03-01
2026,3.0,67388.0,Grenergy USA LLC,IPP,BESS Stadium,TX,69297.0,STBA1,10.0,Batteries,MWH,BA,Addition,Battery storage,2026-03-01
2026,3.0,64738.0,"Hummingbird Energy Storage, LLC",IPP,Hummingbird Energy Storage LLC,CA,65395.0,HUMB1,75.0,Batteries,MWH,BA,Addition,Battery storage,2026-03-01
2026,3.0,67829.0,"IL Solar Bradley Project1, LLC",IPP,IL - ForeFront CS (BBCHS 1) Community Solar,IL,70014.0,BCHS1,5.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,67830.0,"IL Solar Bradley Project2, LLC",IPP,IL - ForeFront CS (BBCHS 2) Community Solar,IL,70015.0,BCHS2,2.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,50123.0,"Leeward Asset Management, LLC",IPP,Twelvemile Solar 1,OK,68088.0,TS1,152.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,50123.0,"Leeward Asset Management, LLC",IPP,Twelvemile Solar 2,OK,69538.0,TS2,52.2,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,66431.0,Liberty 1 Solar LLC,IPP,Liberty Hybrid Solar and Storage Project,TX,67867.0,LIB2,65.0,Batteries,MWH,BA,Addition,Battery storage,2026-03-01
2026,3.0,66625.0,"Lotus Wind, LLC",IPP,Lotus Wind,IL,68192.0,LOTUS,200.0,Onshore Wind Turbine,WND,WT,Addition,Wind,2026-03-01
2026,3.0,65789.0,"Marion County Solar Project, LLC",IPP,Marion County Solar Project,OH,66860.0,USMNC,100.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,67615.0,Medway Grid LLC,IPP,Medway Grid,MA,69720.0,MEDWA,250.0,Batteries,MWH,BA,Addition,Battery storage,2026-03-01
2026,3.0,67183.0,Moseley Hermon Solar,IPP,Moseley Hermon Solar,VA,68971.0,39302,5.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,65830.0,"Myrtle Storage, LLC",IPP,Myrtle Storage,TX,66913.0,MYRST,150.0,Batteries,MWH,BA,Addition,Battery storage,2026-03-01
2026,3.0,56990.0,NJR Clean Energy Ventures Corporation,IPP,Woodstock Solar One,CT,65139.0,VCP19,3.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,14063.0,Oklahoma Gas & Electric Co,Electric Utility,Tinker,OK,63628.0,1,48.0,Natural Gas Fired Combustion Turbine,NG,GT,Addition,Natural gas,2026-03-01
2026,3.0,14063.0,Oklahoma Gas & Electric Co,Electric Utility,Tinker,OK,63628.0,2,48.0,Natural Gas Fired Combustion Turbine,NG,GT,Addition,Natural gas,2026-03-01
2026,3.0,67688.0,Pacifico Tracy Linne LLC,IPP,Tracy Linne,CA,69759.0,LINB,1.3,Batteries,MWH,BA,Addition,Battery storage,2026-03-01
2026,3.0,67688.0,Pacifico Tracy Linne LLC,IPP,Tracy Linne,CA,69759.0,LINS,1.4,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,65539.0,Pivot Energy,IPP,Pivot Solar NY 10,NY,69018.0,NY10,5.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,67824.0,"Pomfret II PV, LLC",IPP,Pomfret II Community Solar,NY,69986.0,PV1,4.7,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,15466.0,Public Service Co of Colorado,Electric Utility,Rocky Mountain Solar,CO,69100.0,RKMB,200.0,Batteries,MWH,BA,Addition,Battery storage,2026-03-01
2026,3.0,67418.0,RP Minnesota Solar LLC,IPP,RP Minnesota Solar,CA,69370.0,CONEJ,1.8,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,67356.0,"RPC Merchant, LLC",IPP,Cedarvale Gas,TX,69267.0,CDRV1,2.5,Natural Gas Internal Combustion Engine,NG,IC,Addition,Natural gas,2026-03-01
2026,3.0,67356.0,"RPC Merchant, LLC",IPP,Cedarvale Gas,TX,69267.0,CDRV2,2.5,Natural Gas Internal Combustion Engine,NG,IC,Addition,Natural gas,2026-03-01
2026,3.0,67356.0,"RPC Merchant, LLC",IPP,Cedarvale Gas,TX,69267.0,CDRV3,2.5,Natural Gas Internal Combustion Engine,NG,IC,Addition,Natural gas,2026-03-01
2026,3.0,67356.0,"RPC Merchant, LLC",IPP,Cedarvale Gas,TX,69267.0,CDRV4,2.5,Natural Gas Internal Combustion Engine,NG,IC,Addition,Natural gas,2026-03-01
2026,3.0,67192.0,RWE Clean Energy,IPP,"Ventasso Energy Storage, LLC",CA,68509.0,VNT,50.0,Batteries,MWH,BA,Addition,Battery storage,2026-03-01
2026,3.0,67409.0,Regis Milton LLC,IPP,Regis Milton,TX,69342.0,MILT,9.9,Batteries,MWH,BA,Addition,Battery storage,2026-03-01
2026,3.0,16572.0,Salt River Project,Electric Utility,Copper Crossing Energy and Research Cent,AZ,58413.0,CXS01,16.5,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,16572.0,Salt River Project,Electric Utility,Copper Crossing Energy and Research Cent,AZ,58413.0,CXS02,16.4,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,16572.0,Salt River Project,Electric Utility,Copper Crossing Energy and Research Cent,AZ,58413.0,CXS03,18.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,60531.0,Standard Solar,IPP,Kieffer Funk,MD,69570.0,KIEFF,12.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,60531.0,Standard Solar,IPP,Sunrise Solar Lincoln DE (CSG),DE,69561.0,LINCO,4.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,65815.0,Sunraycer Assets I LLC,IPP,"Midpoint Solar, LLC",TX,66897.0,MIDPV,97.5,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,65173.0,United States Solar Corporation,IPP,USS Great Plains Solar LLC,CO,69612.0,USGPL,5.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,61029.0,Upper Michigan Energy Resources Company,Electric Utility,Renegade Solar Energy LLC,MI,69476.0,RNGDE,100.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,66848.0,VESI 15 LLC,IPP,Shirk Energy Storage,CA,68494.0,SHRK1,80.0,Batteries,MWH,BA,Addition,Battery storage,2026-03-01
2026,3.0,5504.0,Vistra Corp,IPP,Newton Solar BESS LLC,IL,65401.0,PV,51.8,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,63726.0,Vistra Zero LLC,IPP,Oak Hill - Dry Creek,TX,64132.0,PV1,200.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,60059.0,ZGlobal Inc,IPP,Lara 2 Hybrid,CA,67234.0,LARAB,0.9,Batteries,MWH,BA,Addition,Battery storage,2026-03-01
2026,3.0,60059.0,ZGlobal Inc,IPP,Lara 2 Hybrid,CA,67234.0,LARAS,0.7,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,4.0,67825.0,"2065 George St Solar, LLC",IPP,2065 George St Community Solar,IL,69987.0,PV1,3.2,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,64904.0,AES Clean Energy,IPP,West Camp Wind Farm,AZ,69451.0,WCAMP,500.0,Onshore Wind Turbine,WND,WT,Addition,Wind,2026-04-01
2026,4.0,67470.0,AETS AM LLC,IPP,Aggreko MSR Grid PC2,TX,69416.0,PC2,10.0,Batteries,MWH,BA,Addition,Battery storage,2026-04-01
2026,4.0,67470.0,AETS AM LLC,IPP,Aggreko MSR Grid PC5,TX,69417.0,PC5,10.0,Batteries,MWH,BA,Addition,Battery storage,2026-04-01
2026,4.0,67470.0,AETS AM LLC,IPP,Aggreko MSR Grid PC7,TX,69418.0,PC7,10.0,Batteries,MWH,BA,Addition,Battery storage,2026-04-01
2026,4.0,15399.0,Avangrid Power LLC,IPP,"Tower Solar, LLC",OR,68329.0,TWS,120.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,66053.0,"Beehive Energy Storage, LLC",IPP,Beehive Energy Storage,AZ,67184.0,BHV1,250.0,Batteries,MWH,BA,Addition,Battery storage,2026-04-01
2026,4.0,66904.0,Boot Hill Solar LLC,IPP,Boot Hill Solar,KS,68517.0,BHS,150.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,66107.0,"Carne Energy Storage, LLC",IPP,"Carne Energy Storage, LLC",NM,67230.0,CS,130.0,Batteries,MWH,BA,Addition,Battery storage,2026-04-01
2026,4.0,67728.0,Cartwright Solar I LLC,IPP,Cartwright Solar I,OR,69781.0,CW140,44.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,67064.0,"Catalyze Chicago S Western Avenue 2 Microgrid, LLC",Electric Utility,IL Chicago 2635 S Western Ave. (West),IL,68778.0,20421,1.8,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,66536.0,"Cherry Valley PV I, LLC",IPP,Cherry Valley PV I,AR,67992.0,CHVLY,135.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,11135.0,City of Logan - (UT),Electric Utility,Logan City 2,UT,67445.0,1,2.5,Natural Gas Fired Combustion Turbine,NG,GT,Addition,Natural gas,2026-04-01
2026,4.0,11135.0,City of Logan - (UT),Electric Utility,Logan City 2,UT,67445.0,2,2.5,Natural Gas Fired Combustion Turbine,NG,GT,Addition,Natural gas,2026-04-01
2026,4.0,11135.0,City of Logan - (UT),Electric Utility,Logan City 2,UT,67445.0,3,2.5,Natural Gas Fired Combustion Turbine,NG,GT,Addition,Natural gas,2026-04-01
2026,4.0,11135.0,City of Logan - (UT),Electric Utility,Logan City 2,UT,67445.0,4,2.5,Natural Gas Fired Combustion Turbine,NG,GT,Addition,Natural gas,2026-04-01
2026,4.0,65835.0,"Clean Energy Future - Trumbull, LLC.",IPP,Trumbull Energy Center,OH,66918.0,GT11,275.6,Natural Gas Fired Combined Cycle,NG,CA,Addition,Natural gas,2026-04-01
2026,4.0,65835.0,"Clean Energy Future - Trumbull, LLC.",IPP,Trumbull Energy Center,OH,66918.0,GT12,275.6,Natural Gas Fired Combined Cycle,NG,CA,Addition,Natural gas,2026-04-01
2026,4.0,65835.0,"Clean Energy Future - Trumbull, LLC.",IPP,Trumbull Energy Center,OH,66918.0,STG,349.2,Natural Gas Fired Combined Cycle,NG,CA,Addition,Natural gas,2026-04-01
2026,4.0,67343.0,CleanAmps AssetCo LLC,IPP,Meadow Park Energy Center,TX,69234.0,MPBA1,9.9,Batteries,MWH,BA,Addition,Battery storage,2026-04-01
2026,4.0,66534.0,"Cooks Mill PV I, LLC",IPP,Cooks Mill PV I,IL,67991.0,CKML,99.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,66538.0,"Crooked Creek PV I, LLC",IPP,Crooked Creek PV I,IL,67993.0,CRDCK,99.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,5109.0,DTE Electric Company,Electric Utility,Mission Road Solar Park,MI,67756.0,MSRSP,172.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,65677.0,Dimension Energy LLC,IPP,Mount Laurel Solar 2 LLC CSG,NJ,69827.0,MTLA2,1.9,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,65677.0,Dimension Energy LLC,IPP,Ohara CSG 1 LLC,PA,69826.0,OHAR1,3.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,65677.0,Dimension Energy LLC,IPP,West Deptford Solar 2 LLC CSG,NJ,69853.0,DEPT2,1.7,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,6455.0,"Duke Energy Florida, LLC",Electric Utility,Jumper Creek Solar Plant,FL,69627.0,JCSP1,74.9,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,58135.0,Ecos Energy LLC,IPP,Rose Solar,MA,69794.0,ROSE,4.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,67313.0,Ellomay USA Inc,IPP,Mexia Solar Project,TX,69260.0,MEXA1,4.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,67313.0,Ellomay USA Inc,IPP,Mexia Solar Project,TX,69260.0,MEXA2,4.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,67600.0,Enterprise Storage LLC,IPP,Enterprise Storage,UT,69678.0,ESBA,80.0,Batteries,MWH,BA,Addition,Battery storage,2026-04-01
2026,4.0,67599.0,Escalante BESS I LLC,IPP,Escalante BESS I,UT,69677.0,ESCBA,80.0,Batteries,MWH,BA,Addition,Battery storage,2026-04-01
2026,4.0,6452.0,Florida Power & Light Co,Electric Utility,Clover FL,FL,68821.0,1,74.5,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,6452.0,Florida Power & Light Co,Electric Utility,North Orange,FL,65883.0,1,74.5,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,6452.0,Florida Power & Light Co,Electric Utility,Sand Pine,FL,68818.0,1,74.5,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,6452.0,Florida Power & Light Co,Electric Utility,Sea Grape,FL,68819.0,1,74.5,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,6763.0,Freestone Power Generation LLC,IPP,"Pin Oak Creek Energy Center, LLC",TX,67500.0,GT5,212.0,Natural Gas Fired Combustion Turbine,NG,GT,Addition,Natural gas,2026-04-01
2026,4.0,6763.0,Freestone Power Generation LLC,IPP,"Pin Oak Creek Energy Center, LLC",TX,67500.0,GT6,212.0,Natural Gas Fired Combustion Turbine,NG,GT,Addition,Natural gas,2026-04-01
