Pipeline Type,Entity ID,Entity Name,Plant ID,Plant Name,Plant State,County,Balancing Authority Code,Sector,Generator ID,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Technology Group,Energy Source Code,Prime Mover Code,Expected Month,Expected Year,Status,Latitude,Longitude
Addition,67897,"Clay Creek Energy, LLC",70117.0,Lamar Solar,CO,Prowers,WACM,IPP Non-CHP,GEN1,4.8,4.8,4.8,Solar Photovoltaic,Solar,SUN,PV,2.0,2027.0,(L) Regulatory approvals pending. Not under construction,38.043192,-102.5922
Addition,67897,"Clay Creek Energy, LLC",70118.0,Trinidad Solar,CO,Las Animas,WACM,IPP Non-CHP,GEN1,1.8,1.8,1.8,Solar Photovoltaic,Solar,SUN,PV,2.0,2027.0,(L) Regulatory approvals pending. Not under construction,37.185879,-104.4924
Addition,67898,"Raceway Solar, LLC",70119.0,Raceway Solar - (CO),CO,Morgan,SWPP,IPP Non-CHP,GEN1,7.0,7.0,7.0,Solar Photovoltaic,Solar,SUN,PV,2.0,2027.0,(L) Regulatory approvals pending. Not under construction,40.262222,-103.8292
Addition,67906,CVE US PA Monroe 485 LLC,70168.0,Monroe - PA 0485 (Lawrence),PA,Clarion,PJM,IPP Non-CHP,485,2.4,2.4,2.4,Solar Photovoltaic,Solar,SUN,PV,2.0,2027.0,"(U) Under construction, less than or equal to 50 percent complete",41.11339,-79.4146
Addition,67907,CVE US PA Monroe 486 LLC,70169.0,Monroe - PA 0486 (Acey),PA,Clarion,PJM,IPP Non-CHP,486,3.0,3.0,3.0,Solar Photovoltaic,Solar,SUN,PV,2.0,2027.0,"(U) Under construction, less than or equal to 50 percent complete",41.13178,-79.4476
Addition,5416,"Duke Energy Carolinas, LLC",70223.0,Turnpike Solar Plant,FL,Osceola,FPC,Electric Utility,TPSP1,74.9,74.9,74.9,Solar Photovoltaic,Solar,SUN,PV,2.0,2027.0,"(V) Under construction, more than 50 percent complete",28.063296,-81.22305
Addition,59774,Crawfordsville Energy LLC,1024.0,Crawfordsville Power Plant,IN,Montgomery,MISO,IPP Non-CHP,8,16.3,16.3,16.3,Natural Gas Fired Combined Cycle,Natural gas,NG,CS,3.0,2027.0,(T) Regulatory approvals received. Not under construction,40.048889,-86.8992
Addition,65792,"ITT Energy Tech Partners, LLC",52021.0,ITT Cogen Facility,IL,Cook,PJM,Commercial CHP,GEN3,4.1,4.1,4.1,Natural Gas Internal Combustion Engine,Natural gas,NG,IC,3.0,2027.0,(T) Regulatory approvals received. Not under construction,41.83442,-87.62847
Addition,65792,"ITT Energy Tech Partners, LLC",52021.0,ITT Cogen Facility,IL,Cook,PJM,Commercial CHP,GEN4,4.1,4.1,4.1,Natural Gas Internal Combustion Engine,Natural gas,NG,IC,3.0,2027.0,(T) Regulatory approvals received. Not under construction,41.83442,-87.62847
Addition,7349,"Golden Spread Electric Cooperative, Inc",58835.0,Elk Station,TX,Hale,SWPP,Electric Utility,ELK4,199.8,201.0,210.0,Natural Gas Fired Combustion Turbine,Natural gas,NG,GT,3.0,2027.0,"(U) Under construction, less than or equal to 50 percent complete",33.865,-101.8433
