Date,Series,Value,Series ID,Metric,Unit,Source
2025-06-01,Information,123.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-07-01,Information,157.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-08-01,Information,141.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-09-01,Information,119.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-10-01,Information,117.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-11-01,Information,88.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-12-01,Information,112.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2026-01-01,Information,100.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2026-02-01,Information,80.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2026-03-01,Information,83.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2026-04-01,Information,82.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2026-05-01,Information,72.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2026-06-01,Information,90.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-01-01,Professional and business services,1293.0,JTS540099000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-02-01,Professional and business services,1288.0,JTS540099000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
