Date,Series,Metric,Value,Unit,Series ID,sector_name,measure_text,Source
2026-01-01,Manufacturing — Labor productivity (output per hour),Index,100.072,index 2017=100,PRS30006093,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2020-01-01,Manufacturing — Hourly compensation,Year-over-year change,3.4,percent,PRS30006101,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2020-04-01,Manufacturing — Hourly compensation,Year-over-year change,10.1,percent,PRS30006101,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2020-07-01,Manufacturing — Hourly compensation,Year-over-year change,6.7,percent,PRS30006101,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2020-10-01,Manufacturing — Hourly compensation,Year-over-year change,6.2,percent,PRS30006101,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2021-01-01,Manufacturing — Hourly compensation,Year-over-year change,4.6,percent,PRS30006101,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2021-04-01,Manufacturing — Hourly compensation,Year-over-year change,-0.5,percent,PRS30006101,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2021-07-01,Manufacturing — Hourly compensation,Year-over-year change,2.6,percent,PRS30006101,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2021-10-01,Manufacturing — Hourly compensation,Year-over-year change,2.4,percent,PRS30006101,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2022-01-01,Manufacturing — Hourly compensation,Year-over-year change,2.6,percent,PRS30006101,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2022-04-01,Manufacturing — Hourly compensation,Year-over-year change,1.7,percent,PRS30006101,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2022-07-01,Manufacturing — Hourly compensation,Year-over-year change,3.9,percent,PRS30006101,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2022-10-01,Manufacturing — Hourly compensation,Year-over-year change,2.3,percent,PRS30006101,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2023-01-01,Manufacturing — Hourly compensation,Year-over-year change,2.6,percent,PRS30006101,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2023-04-01,Manufacturing — Hourly compensation,Year-over-year change,4.4,percent,PRS30006101,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2023-07-01,Manufacturing — Hourly compensation,Year-over-year change,4.2,percent,PRS30006101,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2023-10-01,Manufacturing — Hourly compensation,Year-over-year change,6.0,percent,PRS30006101,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2024-01-01,Manufacturing — Hourly compensation,Year-over-year change,6.2,percent,PRS30006101,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2024-04-01,Manufacturing — Hourly compensation,Year-over-year change,5.2,percent,PRS30006101,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2024-07-01,Manufacturing — Hourly compensation,Year-over-year change,5.0,percent,PRS30006101,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2024-10-01,Manufacturing — Hourly compensation,Year-over-year change,3.9,percent,PRS30006101,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2025-01-01,Manufacturing — Hourly compensation,Year-over-year change,4.3,percent,PRS30006101,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2025-04-01,Manufacturing — Hourly compensation,Year-over-year change,4.1,percent,PRS30006101,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2025-07-01,Manufacturing — Hourly compensation,Year-over-year change,4.2,percent,PRS30006101,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
