Date,Value,Series ID,Series,Metric,Unit,Source
2021-06-01,221.6,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2021-07-01,223.1,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2021-08-01,221.6,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2021-09-01,220.9,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2021-10-01,224.9,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2021-11-01,223.1,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2021-12-01,225.4,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2022-01-01,228.2,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2022-02-01,226.7,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2022-03-01,229.1,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2022-04-01,229.9,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2022-05-01,232.0,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2022-06-01,232.2,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2022-07-01,232.9,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2022-08-01,235.1,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2022-09-01,239.5,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2022-10-01,239.0,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2022-11-01,240.1,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2022-12-01,239.1,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2023-01-01,239.6,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2023-02-01,242.0,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2023-03-01,240.2,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2023-04-01,239.9,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2023-05-01,239.5,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2023-06-01,240.3,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2023-07-01,240.4,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2023-08-01,239.1,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2023-09-01,238.9,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2023-10-01,236.8,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2023-11-01,238.0,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2023-12-01,238.0,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
