Entity ID,Entity Name,Plant ID,Plant Name,Plant State,County,Balancing Authority Code,Sector,Generator ID,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Technology Group,Energy Source Code,Prime Mover Code,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Status,Nameplate Energy Capacity (MWh),Latitude,Longitude
61515,"Phoebe Energy Project, LLC",61906.0,Phoebe Solar,TX,Winkler,ERCO,IPP Non-CHP,PHOEB,250.0,250.0,250.0,Solar Photovoltaic,Solar,SUN,PV,11.0,2019.0, , ,(OP) Operating,,31.843422,-102.8683
56990,NJR Clean Energy Ventures Corporation,61907.0,Springfield Solar Project,NJ,Burlington,PJM,IPP Non-CHP,NJLND,7.5,7.5,7.5,Solar Photovoltaic,Solar,SUN,PV,10.0,2018.0, , ,(OP) Operating,,40.032087,-74.64739
61516,"Stratford Solar Center, LLC",61908.0,"Stratford Solar Center, LLC",VA,Suffolk City,PJM,IPP Non-CHP,STRAT,15.0,15.0,15.0,Solar Photovoltaic,Solar,SUN,PV,11.0,2022.0, , ,(OP) Operating,,36.660483,-76.56093
4254,Consumers Energy Co - (MI),61909.0,Parkview Battery,MI,Kalamazoo,MISO,Electric Utility,PKVWB,1.1,1.0,1.0,Batteries,Battery storage,MWH,BA,9.0,2018.0, , ,(OP) Operating,1.0,42.26,-85.64972
66061,BQ Energy Development,61910.0,Yeoman Creek,IL,Lake,MISO,IPP Non-CHP,YEOM,7.0,7.0,7.0,Solar Photovoltaic,Solar,SUN,PV,12.0,2025.0, , ,(OP) Operating,,42.391136,-87.84941
12341,MidAmerican Energy Co,61911.0,Ivester Wind Farm,IA,Grundy,MISO,Electric Utility,WT1,90.8,90.0,90.0,Onshore Wind Turbine,Wind,WND,WT,12.0,2018.0, , ,(OP) Operating,,42.33327,-92.94644
34691,Ormat Nevada Inc,61912.0,McGinness Hills 3,NV,Lander,NEVP,IPP Non-CHP,G1A,24.8,24.8,24.8,Geothermal,Other renewables,GEO,BT,4.0,2021.0, , ,(OP) Operating,,39.5963,-116.8942
34691,Ormat Nevada Inc,61912.0,McGinness Hills 3,NV,Lander,NEVP,IPP Non-CHP,OEC31,37.0,24.7,37.0,Geothermal,Other renewables,GEO,BT,12.0,2018.0, , ,(OP) Operating,,39.5963,-116.8942
34691,Ormat Nevada Inc,61912.0,McGinness Hills 3,NV,Lander,NEVP,IPP Non-CHP,OEC32,37.0,24.7,37.0,Geothermal,Other renewables,GEO,BT,12.0,2018.0, , ,(OP) Operating,,39.5963,-116.8942
63249,Terraform Arcadia,61914.0,Susquehanna University Solar,PA,Snyder,PJM,IPP Non-CHP,SO829,3.0,3.0,3.0,Solar Photovoltaic,Solar,SUN,PV,9.0,2018.0, , ,(OP) Operating,,40.795166,-76.88253
