Date,Geography,Sector,Sales MWh,Revenue Thousand Dollars,Customers,Price Cents per kWh,Data Status
2025-09-01,CO,Residential,1692240.8,282618.93,2526644.0,16.7,Preliminary
2025-09-01,CT,Residential,909118.78,277121.55,1594805.0,30.48,Preliminary
2025-09-01,DC,Residential,177745.92,42074.32,325077.0,23.67,Preliminary
2025-09-01,DE,Residential,404493.07,73298.85,478352.0,18.12,Preliminary
2025-09-01,FL,Residential,13136126.0,2070084.2,10670918.0,15.76,Preliminary
2025-09-01,GA,Residential,5351078.9,818644.93,4868798.0,15.3,Preliminary
2025-09-01,HI,Residential,244126.89,96521.15,449653.0,39.54,Preliminary
2025-09-01,IA,Residential,1116992.9,165186.5,1475551.0,14.79,Preliminary
2025-09-01,ID,Residential,701413.02,87666.06,891650.0,12.5,Preliminary
2025-09-01,IL,Residential,3560500.2,678243.65,5415768.0,19.05,Preliminary
2025-09-01,IN,Residential,2582451.2,447598.11,3015220.0,17.33,Preliminary
2025-09-01,KS,Residential,1195306.3,181686.33,1347919.0,15.2,Preliminary
2025-09-01,KY,Residential,2034199.8,275752.65,2018323.0,13.56,Preliminary
2025-09-01,LA,Residential,3102951.2,383501.48,2169948.0,12.36,Preliminary
2025-09-01,MA,Residential,1588855.5,483193.11,2914597.0,30.41,Preliminary
2025-09-01,MD,Residential,2048049.5,431061.25,2469345.0,21.05,Preliminary
2025-09-01,ME,Residential,355431.6,99459.43,758942.0,27.98,Preliminary
2025-09-01,MI,Residential,2492515.5,528536.0,4544215.0,21.2,Preliminary
2025-09-01,MN,Residential,1737041.0,297022.79,2624168.0,17.1,Preliminary
2025-09-01,MO,Residential,2888635.1,457544.36,2882016.0,15.84,Preliminary
2025-09-01,MS,Residential,1786601.4,249662.35,1351008.0,13.97,Preliminary
2025-09-01,MT,Residential,402103.53,58850.48,568137.0,14.64,Preliminary
2025-09-01,NC,Residential,4765801.2,720539.76,5194938.0,15.12,Preliminary
2025-09-01,ND,Residential,324502.86,44332.97,400265.0,13.66,Preliminary
2025-09-01,NE,Residential,827058.07,114532.55,925390.0,13.85,Preliminary
2025-09-01,NH,Residential,334909.62,93171.15,659412.0,27.82,Preliminary
