q_id,q_status,q_date,prop_date,ia_date,IA_phase_clean,county,state,region,project_name,utility,entity,developer,service,project_type,type_1,type_2,type_3,type_clean,Technology Group,mw_1,mw_2,mw_3,Generation MW,Storage MW,Queue MW,Queue Accounting,q_year,prop_year
26INR0156,active,2023-08-14 00:00:00,2027-07-31 00:00:00,2024-06-27 00:00:00,IA Executed,Refugio,TX,ERCOT,Ross Storage,,ERCOT,"S&S Renewables, LLC",,Generation,Battery,Battery,,Solar+Battery,Solar,510.99,,,,510.99,510.99,Submitted components; hybrid-storage imputation excluded,2023.0,2027.0
26INR0159,active,2023-07-10 00:00:00,2028-06-30 00:00:00,,Facility Study,Schleicher,TX,ERCOT,Proving Ground BESS,,ERCOT,Lantana Solar LLC,,Generation,Battery,Battery,,Solar+Battery,Solar,51.4,,,,51.4,51.4,Submitted components; hybrid-storage imputation excluded,2023.0,2028.0
26INR0161,active,2023-08-14 00:00:00,2029-04-20 00:00:00,,Facility Study,Nacogdoches,TX,ERCOT,Timberline Solar,,ERCOT,"Timberline Renewables, LLC",,Generation,Solar,Battery,,Solar+Battery,Solar,201.0,,,201.0,,201.0,Submitted components; hybrid-storage imputation excluded,2023.0,2029.0
26INR0162,active,2023-08-14 00:00:00,2029-04-20 00:00:00,,Facility Study,Nacogdoches,TX,ERCOT,Timberline Storage,,ERCOT,"Timberline Renewables, LLC",,Generation,Battery,Battery,,Solar+Battery,Solar,100.5,,,,100.5,100.5,Submitted components; hybrid-storage imputation excluded,2023.0,2029.0
26INR0171,active,2023-08-21 00:00:00,2029-06-30 00:00:00,,Facility Study,Hardeman,TX,ERCOT,Lazy U Solar 1,,ERCOT,Lazy U Solar 1,,Generation,Solar,,,Solar,Solar,252.0,,,252.0,,252.0,Submitted components; hybrid-storage imputation excluded,2023.0,2029.0
26INR0172,active,2023-08-21 00:00:00,2029-06-30 00:00:00,,Facility Study,Hardeman,TX,ERCOT,Lazy U Solar 2,,ERCOT,Lazy U Solar 2,,Generation,Solar,,,Solar,Solar,252.0,,,252.0,,252.0,Submitted components; hybrid-storage imputation excluded,2023.0,2029.0
26INR0173,active,2023-09-08 00:00:00,2029-06-30 00:00:00,,Facility Study,Hardeman,TX,ERCOT,Juniper Ridge BESS 1,,ERCOT,Lazy U ESS 1,,Generation,Battery,,,Battery,Battery storage,251.5,,,,251.5,251.5,Submitted components; hybrid-storage imputation excluded,2023.0,2029.0
26INR0174,active,2023-08-21 00:00:00,2029-06-30 00:00:00,,Facility Study,Hardeman,TX,ERCOT,Juniper Ridge BESS 2,,ERCOT,Lazy U ESS 2,,Generation,Battery,,,Battery,Battery storage,251.5,,,,251.5,251.5,Submitted components; hybrid-storage imputation excluded,2023.0,2029.0
26INR0176,active,2023-06-28 00:00:00,2027-03-11 00:00:00,,Facility Study,Houston,TX,ERCOT,Dionysus Solar,,ERCOT,"Dionysus Solar, LLC",,Generation,Solar,Battery,,Solar+Battery,Solar,153.26,,,153.26,,153.26,Submitted components; hybrid-storage imputation excluded,2023.0,2027.0
26INR0177,active,2023-06-28 00:00:00,2027-03-11 00:00:00,,Facility Study,Houston,TX,ERCOT,Dionysus Storage,,ERCOT,"Dionysus Solar, LLC",,Generation,Battery,Battery,,Solar+Battery,Solar,77.28,,,,77.28,77.28,Submitted components; hybrid-storage imputation excluded,2023.0,2027.0
