IXP Name,Location,State,State Assignment,Physical Locations,Reported Members,Observation Date,Source,Source URL,Evidence Class,Evidence Grade,Boundary
Hyper Group Internet Exchange - HN Internet Exchange (Main),North Kansas City,MO,city_crosswalk,1,28,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Springfield Internet eXchange - SpringIX,"Springfield, MO",MO,source_location,2,16,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Fiber Data Internet Exchange - St. Louis - FD-IX - St. Louis,"St. Louis, MO",MO,source_location,4,15,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Gateway Internet Exchange,Saint Louis,MO,city_crosswalk,1,3,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
MOCIX,Kansas City,MO,city_crosswalk,1,3,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
CoreSite - Any2West,Los Angeles and Silicon Valley,MULTI,multi_state_exchange,10,265,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
BroadBand Internet eXchange US-West - BBIX US-West,West Coast,MULTI,multi_state_exchange,2,88,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Digital Realty New York Internet Exchange,New York/New Jersey,MULTI,multi_state_exchange,5,54,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
CoreSite - Any2East,"Washington DC, Reston, Boston, New York, Atlanta",MULTI,multi_state_exchange,11,50,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Amateur Radio Internet Exchange - ARIX,"Fremont, Portland, Flagstaff",MULTI,multi_state_exchange,1,19,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
"Pacific Wave Exchange in LA, Sunnyvale and Seattle",West Coast,MULTI,multi_state_exchange,5,15,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Lightboard - American IX ★ Massachusetts,Boston Springfield Syracuse Burlington Worcester,MULTI,multi_state_exchange,2,4,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Lightboard - Vermont IX 🍁,"Burlington White River Junction Hanover, NH Montpelier",MULTI,multi_state_exchange,1,4,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Megaport MegaIX Charlotte,Charlotte,NC,city_crosswalk,4,6,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Statewide North Carolina Internet Exchange - Statewide NC-IX,Charlotte,NC,city_crosswalk,1,4,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Ninja-IX Charlotte,Charlotte,NC,city_crosswalk,2,3,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Fargo-Moorhead Internet Exchange - FMIX,"Fargo, ND",ND,source_location,1,4,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Omaha Internet Exchange - OmahaIX,Omaha,NE,city_crosswalk,1,52,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
ABQIX,Albuquerque,NM,city_crosswalk,4,12,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Tahoe Internet Exchange - TahoeIX,Reno,NV,city_crosswalk,2,12,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Internet eXchange 42 Las Vegas - IX42 LAS,Las Vegas,NV,city_crosswalk,0,11,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Ninja-IX Las Vegas,Las Vegas,NV,city_crosswalk,1,7,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Megaport MegaIX Las Vegas,Las Vegas,NV,city_crosswalk,3,4,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
DE-CIX New York,New York,NY,city_crosswalk,33,261,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
New York International Internet eXchange - NYIIX New York,New York,NY,city_crosswalk,7,193,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Equinix Internet Exchange New York - Equinix New York,New York,NY,city_crosswalk,6,102,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
