Geography,Use Category,Total Withdrawal Mgal/d,Fresh Groundwater Mgal/d,Saline Groundwater Mgal/d,Fresh Surface Water Mgal/d,Saline Surface Water Mgal/d,Component Sum Mgal/d,Residual Mgal/d
TN,livestock,23.45,11.950000000000001,0.0,11.500000000000002,0.0,23.450000000000003,-3.552713678800501e-15
TN,aquaculture,56.92,11.69,,45.23,,,
TN,mining,31.360000000000007,17.110000000000003,0.0,14.250000000000004,0.0,31.360000000000007,0.0
TN,thermoelectric_power,4619.96,2.18,0.0,4617.78,0.0,4619.96,0.0
TX,public_supply,2885.3300000000004,1153.42,19.709999999999997,1710.0900000000001,2.1100000000000003,2885.3300000000004,0.0
TX,domestic_self_supply,136.69,136.69,0.0,0.0,0.0,136.69,0.0
TX,industrial_self_supply,924.4399999999999,99.82,3.2800000000000002,223.23999999999998,598.1,924.44,-1.1368683772161603e-13
TX,irrigation,5489.29,4476.53,0.0,1012.76,0.0,5489.29,0.0
TX,livestock,275.5,138.2,0.0,137.3,0.0,275.5,0.0
TX,aquaculture,23.200000000000003,11.61,0.0,10.73,0.86,23.2,3.552713678800501e-15
TX,mining,1136.0500000000002,115.53999999999999,1004.6100000000001,15.89,0.01,1136.0500000000002,0.0
TX,thermoelectric_power,10397.150000000001,37.68,0.0,9602.45,757.02,10397.150000000001,0.0
UT,public_supply,626.52,354.80999999999995,4.53,267.18,0.0,626.52,0.0
UT,domestic_self_supply,10.360000000000001,10.360000000000001,0.0,0.0,0.0,10.360000000000001,0.0
UT,industrial_self_supply,133.15,37.4,36.57,16.78,42.4,133.15,0.0
UT,irrigation,3025.3199999999997,536.83,0.0,2488.49,0.0,3025.3199999999997,0.0
UT,livestock,15.900000000000002,7.46,0.0,8.440000000000001,0.0,15.900000000000002,0.0
UT,aquaculture,83.08000000000001,83.08000000000001,0.0,0.0,0.0,83.08000000000001,0.0
UT,mining,261.5,1.67,43.68,1.8,214.35,261.5,0.0
UT,thermoelectric_power,69.46000000000001,22.72,8.459999999999999,38.28,0.0,69.46000000000001,0.0
VA,public_supply,697.23,71.3,11.540000000000001,614.3900000000001,0.0,697.2300000000001,-1.1368683772161603e-13
VA,domestic_self_supply,124.75999999999999,124.75999999999999,0.0,0.0,0.0,124.75999999999999,0.0
VA,industrial_self_supply,375.27,65.97,0.0,304.15,5.15,375.27,0.0
VA,irrigation,51.69,7.93,0.0,43.760000000000005,0.0,51.690000000000005,-7.105427357601002e-15
VA,livestock,27.04,6.5200000000000005,0.0,20.52,0.0,27.04,0.0
VA,aquaculture,113.24999999999999,0.15,0.0,113.1,0.0,113.25,-1.4210854715202004e-14
VA,mining,24.879999999999995,6.2,0.0,18.68,0.0,24.88,-3.552713678800501e-15
VA,thermoelectric_power,5315.67,1.0799999999999998,2.72,2913.74,2398.13,5315.67,0.0
VI,public_supply,4.27,0.91,0.0,0.0,3.3600000000000003,4.2700000000000005,-8.881784197001252e-16
VI,domestic_self_supply,3.7800000000000002,1.23,0.0,2.55,0.0,3.78,4.440892098500626e-16
VI,industrial_self_supply,0.52,0.52,0.0,0.0,0.0,0.52,0.0
